customer_id,transaction_date,amount
CUST0424,2026-05-24,109.42
CUST0146,2026-03-21,982.65
CUST0074,2026-07-29,1294.15
CUST0148,2026-03-29,644.52
CUST0414,2026-03-19,390.36
CUST0093,2026-08-11,803.44
CUST0170,2026-04-03,1083.6
CUST0156,2026-03-14,461.42
CUST0123,2026-03-10,470.83
CUST0078,2026-08-03,1181.66
CUST0036,2026-07-28,1070.11
CUST0041,2026-08-01,897.16
CUST0128,2026-03-04,713.05
CUST0004,2026-08-13,1838.87
CUST0246,2026-05-13,808.13
CUST0189,2026-03-18,694.36
CUST0249,2026-03-09,630.27
CUST0225,2026-05-14,487.95
CUST0346,2026-08-12,375.97
CUST0110,2026-08-04,927.26
CUST0007,2026-08-08,1650.82
CUST0041,2026-07-31,2835.55
CUST0038,2026-08-11,2233.12
CUST0083,2026-07-28,2529.81
CUST0332,2026-08-11,300.75
CUST0001,2026-07-27,2891.57
CUST0035,2026-07-28,1797.24
CUST0015,2026-08-12,1719.48
CUST0430,2026-06-07,311.16
CUST0195,2026-03-09,696.52
CUST0134,2026-04-13,614.0
CUST0033,2026-08-11,2829.5
CUST0184,2026-03-03,771.23
CUST0476,2026-05-16,213.7
CUST0209,2026-04-08,413.75
CUST0075,2026-08-03,1286.34
CUST0230,2026-03-10,843.92
CUST0057,2026-08-09,1800.43
CUST0089,2026-08-02,2398.68
CUST0176,2026-02-21,359.55
CUST0187,2026-02-17,666.97
CUST0030,2026-08-14,1995.82
CUST0032,2026-08-03,1080.48
CUST0049,2026-08-05,1285.69
CUST0201,2026-04-05,877.35
CUST0002,2026-08-13,2691.87
CUST0096,2026-08-11,2758.21
CUST0091,2026-08-03,2935.69
CUST0173,2026-02-12,411.06
CUST0061,2026-08-05,2127.59
CUST0014,2026-08-03,1272.1
CUST0146,2026-05-12,974.98
CUST0116,2026-08-09,2660.87
CUST0431,2026-05-28,345.74
CUST0077,2026-08-06,2163.1
CUST0013,2026-08-02,2954.92
CUST0178,2026-02-19,635.26
CUST0139,2026-03-02,926.96
CUST0022,2026-07-30,1094.83
CUST0378,2026-08-06,398.22
CUST0234,2026-04-30,1135.25
CUST0033,2026-08-02,2855.61
CUST0192,2026-02-09,1042.02
CUST0188,2026-05-04,1060.38
CUST0115,2026-08-15,1185.49
CUST0144,2026-02-01,589.05
CUST0093,2026-08-05,897.65
CUST0227,2026-04-30,576.28
CUST0031,2026-08-06,1552.58
CUST0133,2026-03-18,618.41
CUST0069,2026-08-02,1022.3
CUST0245,2026-05-02,566.17
CUST0012,2026-08-13,1345.01
CUST0181,2026-02-22,961.43
CUST0287,2026-08-11,510.13
CUST0239,2026-03-20,634.91
CUST0107,2026-07-27,2520.01
CUST0093,2026-07-31,1452.8
CUST0171,2026-04-02,848.95
CUST0158,2026-02-26,846.16
CUST0052,2026-07-30,2893.41
CUST0005,2026-08-11,2323.36
CUST0423,2026-06-28,289.81
CUST0040,2026-08-05,2116.23
CUST0245,2026-03-24,646.26
CUST0022,2026-07-30,2465.4
CUST0048,2026-07-27,2468.18
CUST0037,2026-08-12,2214.44
CUST0035,2026-08-15,1481.86
CUST0057,2026-07-27,2970.59
CUST0056,2026-08-05,2420.08
CUST0073,2026-08-08,1577.15
CUST0306,2026-08-08,260.36
CUST0040,2026-08-12,1987.65
CUST0134,2026-03-30,755.07
CUST0168,2026-02-05,418.49
CUST0115,2026-08-07,2891.01
CUST0014,2026-07-28,2605.41
CUST0188,2026-01-31,339.64
CUST0009,2026-08-15,2069.19
CUST0076,2026-08-06,2433.17
CUST0038,2026-08-14,2121.14
CUST0118,2026-08-14,2517.39
CUST0230,2026-04-06,1005.96
CUST0117,2026-08-14,2726.94
CUST0063,2026-07-30,2421.12
CUST0031,2026-08-10,2455.29
CUST0035,2026-07-30,880.41
CUST0070,2026-07-29,942.16
CUST0259,2026-08-03,264.08
CUST0063,2026-08-15,1621.72
CUST0022,2026-08-08,848.81
CUST0047,2026-07-31,2248.59
CUST0083,2026-08-04,937.0
CUST0036,2026-07-29,2707.39
CUST0042,2026-08-08,1770.27
CUST0162,2026-02-03,486.55
CUST0464,2026-04-24,69.11
CUST0151,2026-03-18,973.37
CUST0016,2026-08-13,1026.87
CUST0150,2026-05-13,867.04
CUST0027,2026-08-03,1526.77
CUST0100,2026-08-08,1516.81
CUST0136,2026-04-25,686.65
CUST0127,2026-03-06,694.55
CUST0137,2026-01-31,959.17
CUST0125,2026-03-26,313.6
CUST0006,2026-08-10,1332.52
CUST0003,2026-08-03,1396.97
CUST0498,2026-06-30,348.15
CUST0105,2026-08-01,1026.05
CUST0018,2026-08-07,2437.27
CUST0310,2026-08-04,577.02
CUST0040,2026-08-10,2098.51
CUST0019,2026-08-03,2933.73
CUST0165,2026-05-09,471.65
CUST0223,2026-04-18,749.37
CUST0033,2026-08-07,1252.28
CUST0010,2026-08-14,1359.16
CUST0195,2026-03-14,660.19
CUST0081,2026-08-05,937.84
CUST0007,2026-07-27,1517.11
CUST0107,2026-08-03,879.07
CUST0147,2026-02-17,1100.22
CUST0241,2026-04-25,583.51
CUST0220,2026-04-01,628.34
CUST0092,2026-08-08,1833.44
CUST0197,2026-02-09,369.13
CUST0161,2026-01-30,451.31
CUST0387,2026-08-04,450.43
CUST0376,2026-08-09,278.49
CUST0150,2026-02-23,631.51
CUST0256,2026-08-12,342.82
CUST0061,2026-07-31,2076.38
CUST0082,2026-08-05,948.87
CUST0236,2026-04-03,513.23
CUST0011,2026-08-08,2333.43
CUST0098,2026-08-11,1302.67
CUST0102,2026-08-01,2979.2
CUST0120,2026-08-13,2895.43
CUST0497,2026-05-09,230.31
CUST0073,2026-08-08,986.54
CUST0097,2026-08-01,1139.81
CUST0012,2026-07-31,1149.02
CUST0240,2026-04-20,907.91
CUST0222,2026-04-25,586.18
CUST0398,2026-08-13,253.13
CUST0043,2026-08-15,1325.31
CUST0487,2026-05-22,388.3
CUST0101,2026-07-30,1456.56
CUST0102,2026-07-30,997.59
CUST0171,2026-05-01,933.67
CUST0062,2026-07-31,2224.44
CUST0061,2026-08-04,2902.15
CUST0084,2026-08-09,2149.64
CUST0150,2026-04-20,495.51
CUST0013,2026-08-01,889.6
CUST0055,2026-07-30,1660.38
CUST0182,2026-01-31,609.56
CUST0013,2026-08-12,899.67
CUST0025,2026-08-10,1065.4
CUST0185,2026-05-01,801.58
CUST0081,2026-07-31,1616.66
CUST0031,2026-08-15,1973.61
CUST0058,2026-08-01,2323.78
CUST0026,2026-07-27,1260.57
CUST0419,2026-06-14,187.64
CUST0235,2026-05-09,673.9
CUST0206,2026-04-08,383.94
CUST0201,2026-04-12,666.94
CUST0146,2026-03-06,825.34
CUST0107,2026-08-07,1209.25
CUST0156,2026-04-26,440.59
CUST0021,2026-08-11,2149.51
CUST0012,2026-08-03,2932.98
CUST0040,2026-07-28,1492.11
CUST0194,2026-03-16,544.8
CUST0210,2026-05-04,1020.19
CUST0162,2026-02-13,318.47
CUST0055,2026-08-06,1322.6
CUST0117,2026-07-27,1735.5
CUST0003,2026-08-02,1231.16
CUST0066,2026-08-14,2987.11
CUST0164,2026-03-17,1087.87
CUST0049,2026-08-01,1875.02
CUST0148,2026-02-17,705.7
CUST0102,2026-07-28,1486.18
CUST0089,2026-08-05,963.33
CUST0117,2026-08-12,2325.96
CUST0105,2026-08-05,1394.87
CUST0159,2026-03-26,1020.07
CUST0235,2026-03-22,349.87
CUST0354,2026-08-03,372.75
CUST0165,2026-02-12,575.82
CUST0064,2026-08-11,2212.34
CUST0105,2026-08-14,2387.79
CUST0005,2026-08-14,2367.0
CUST0090,2026-08-04,2082.18
CUST0129,2026-02-13,1156.34
CUST0177,2026-03-30,553.45
CUST0119,2026-07-30,2399.52
CUST0103,2026-08-07,2485.46
CUST0025,2026-07-29,1412.9
CUST0101,2026-07-28,2767.8
CUST0179,2026-02-19,607.28
CUST0204,2026-04-02,321.18
CUST0202,2026-02-07,1097.48
CUST0076,2026-08-06,2246.63
CUST0162,2026-05-15,1186.77
CUST0040,2026-08-06,2319.23
CUST0114,2026-07-31,1009.88
CUST0134,2026-02-22,1113.2
CUST0120,2026-08-14,2717.11
CUST0439,2026-04-07,155.63
CUST0084,2026-08-08,2555.41
CUST0182,2026-03-07,1043.9
CUST0094,2026-08-01,1721.69
CUST0242,2026-01-29,671.16
CUST0150,2026-04-11,533.62
CUST0018,2026-08-10,2358.0
CUST0065,2026-08-07,1511.42
CUST0029,2026-08-11,1211.5
CUST0081,2026-08-01,848.01
CUST0086,2026-07-29,1043.65
CUST0184,2026-04-26,503.87
CUST0066,2026-07-28,1135.32
CUST0082,2026-08-11,2880.54
CUST0073,2026-08-03,1130.37
CUST0025,2026-08-02,1601.39
CUST0091,2026-08-04,1821.75
CUST0494,2026-07-13,392.11
CUST0060,2026-08-09,2039.57
CUST0027,2026-08-09,996.25
CUST0066,2026-08-04,1336.04
CUST0026,2026-07-30,2114.01
CUST0117,2026-08-06,2614.53
CUST0046,2026-08-14,2696.68
CUST0481,2026-05-22,375.85
CUST0195,2026-03-19,472.02
CUST0213,2026-04-27,870.34
CUST0342,2026-08-07,558.82
CUST0078,2026-08-02,1127.8
CUST0060,2026-07-28,2711.58
CUST0400,2026-08-04,146.36
CUST0235,2026-03-01,557.31
CUST0008,2026-07-27,2077.51
CUST0273,2026-08-03,281.49
CUST0082,2026-08-09,2304.26
CUST0024,2026-08-13,2723.5
CUST0077,2026-07-27,1519.25
CUST0274,2026-08-04,462.69
CUST0105,2026-08-10,2770.6
CUST0099,2026-08-14,1370.54
CUST0105,2026-08-07,2447.02
CUST0234,2026-04-25,1190.55
CUST0217,2026-02-26,740.13
CUST0277,2026-08-01,224.4
CUST0091,2026-08-08,2885.84
CUST0432,2026-07-02,114.42
CUST0220,2026-02-28,789.91
CUST0089,2026-08-02,2803.69
CUST0054,2026-08-04,2488.99
CUST0260,2026-08-05,355.29
CUST0232,2026-03-12,644.51
CUST0046,2026-08-14,1698.6
CUST0048,2026-07-30,2080.78
CUST0139,2026-05-05,1083.47
CUST0005,2026-08-07,1688.44
CUST0142,2026-02-02,778.42
CUST0092,2026-08-10,2679.1
CUST0437,2026-05-17,395.03
CUST0004,2026-08-03,969.36
CUST0119,2026-07-30,867.89
CUST0070,2026-08-03,826.67
CUST0109,2026-07-31,2500.43
CUST0182,2026-04-01,313.66
CUST0164,2026-01-28,580.52
CUST0023,2026-08-06,2491.62
CUST0061,2026-08-03,2609.27
CUST0159,2026-02-23,494.6
CUST0117,2026-08-12,2927.06
CUST0046,2026-08-07,2768.83
CUST0111,2026-08-01,2818.47
CUST0165,2026-03-22,943.67
CUST0482,2026-07-12,99.99
CUST0202,2026-03-27,580.72
CUST0075,2026-07-29,1269.73
CUST0182,2026-05-08,594.12
CUST0069,2026-08-11,2153.48
CUST0043,2026-08-04,2180.51
CUST0310,2026-08-07,103.49
CUST0069,2026-08-09,1303.57
CUST0171,2026-02-14,937.31
CUST0145,2026-03-30,635.92
CUST0193,2026-04-16,690.39
CUST0436,2026-06-24,383.23
CUST0275,2026-08-14,303.89
CUST0116,2026-08-09,2767.01
CUST0009,2026-08-02,2097.72
CUST0171,2026-05-16,984.38
CUST0219,2026-04-28,886.71
CUST0051,2026-08-03,2465.53
CUST0128,2026-03-16,620.37
CUST0024,2026-08-05,1328.32
CUST0076,2026-08-09,2069.78
CUST0018,2026-08-14,978.97
CUST0171,2026-02-06,719.67
CUST0067,2026-08-03,1637.37
CUST0068,2026-08-03,1608.58
CUST0008,2026-07-29,1153.78
CUST0118,2026-08-09,2671.04
CUST0017,2026-07-27,2061.56
CUST0132,2026-02-15,897.8
CUST0102,2026-08-13,1786.3
CUST0203,2026-05-11,405.55
CUST0069,2026-08-12,1959.49
CUST0082,2026-08-14,1866.33
CUST0246,2026-05-02,599.5
CUST0136,2026-04-19,713.27
CUST0203,2026-02-01,1014.44
CUST0109,2026-08-06,2494.35
CUST0057,2026-08-03,1115.79
CUST0030,2026-08-13,946.29
CUST0120,2026-08-12,2175.06
CUST0417,2026-04-02,251.88
CUST0210,2026-03-22,1168.77
CUST0045,2026-08-08,2874.01
CUST0094,2026-08-01,2449.67
CUST0071,2026-07-31,2422.19
CUST0164,2026-02-20,388.72
CUST0402,2026-07-05,70.06
CUST0010,2026-08-15,1497.23
CUST0226,2026-05-02,802.52
CUST0421,2026-06-03,130.98
CUST0051,2026-08-10,1441.66
CUST0204,2026-02-11,1065.52
CUST0028,2026-08-14,2024.88
CUST0090,2026-08-07,1526.9
CUST0443,2026-05-07,295.28
CUST0002,2026-08-12,2115.38
CUST0239,2026-02-08,425.99
CUST0176,2026-03-25,378.79
CUST0077,2026-08-09,1858.14
CUST0086,2026-08-11,2031.46
CUST0106,2026-08-04,2285.31
CUST0078,2026-08-12,1937.99
CUST0013,2026-08-06,2888.12
CUST0226,2026-03-01,433.52
CUST0013,2026-07-31,2213.32
CUST0032,2026-08-14,826.85
CUST0012,2026-07-31,1202.31
CUST0095,2026-08-14,1965.98
CUST0003,2026-08-14,1009.9
CUST0006,2026-08-10,2330.79
CUST0117,2026-08-09,1469.24
CUST0116,2026-07-27,1894.59
CUST0067,2026-08-07,1921.39
CUST0021,2026-08-10,2808.96
CUST0259,2026-08-09,350.29
CUST0046,2026-08-01,811.18
CUST0053,2026-07-29,932.77
CUST0020,2026-08-13,2782.55
CUST0254,2026-08-01,233.71
CUST0101,2026-08-01,2481.96
CUST0153,2026-05-15,862.15
CUST0090,2026-08-11,1355.08
CUST0236,2026-02-25,1017.76
CUST0368,2026-08-15,322.43
CUST0011,2026-07-31,911.69
CUST0302,2026-08-15,322.09
CUST0220,2026-04-10,770.89
CUST0224,2026-03-22,841.63
CUST0108,2026-08-10,2218.63
CUST0184,2026-04-17,347.49
CUST0080,2026-08-09,1892.21
CUST0010,2026-07-27,1447.79
CUST0052,2026-07-29,2607.17
CUST0063,2026-08-09,2268.61
CUST0063,2026-07-29,2486.64
CUST0051,2026-07-31,1861.18
CUST0468,2026-06-03,129.62
CUST0036,2026-08-13,1334.98
CUST0110,2026-08-07,2862.23
CUST0101,2026-07-28,1817.89
CUST0216,2026-05-17,583.43
CUST0033,2026-08-05,2850.66
CUST0196,2026-03-21,606.49
CUST0194,2026-02-11,1169.17
CUST0139,2026-05-05,652.67
CUST0209,2026-04-14,465.11
CUST0017,2026-07-27,2279.54
CUST0236,2026-05-12,955.79
CUST0089,2026-08-02,1280.58
CUST0042,2026-08-04,2059.34
CUST0059,2026-08-15,1695.2
CUST0092,2026-07-30,1281.95
CUST0189,2026-04-28,795.6
CUST0012,2026-08-11,2145.79
CUST0042,2026-08-03,2176.96
CUST0133,2026-03-11,1132.1
CUST0215,2026-02-28,1102.08
CUST0051,2026-07-29,1855.87
CUST0196,2026-02-01,375.71
CUST0103,2026-07-30,1901.37
CUST0145,2026-02-11,307.53
CUST0113,2026-08-15,1808.12
CUST0080,2026-08-06,2862.18
CUST0036,2026-08-08,859.61
CUST0253,2026-08-10,420.78
CUST0428,2026-05-02,77.9
CUST0024,2026-07-28,1981.98
CUST0281,2026-08-04,363.78
CUST0011,2026-07-28,1824.32
CUST0091,2026-08-12,1645.92
CUST0046,2026-08-07,1523.91
CUST0119,2026-07-28,2520.78
CUST0032,2026-08-11,2618.96
CUST0021,2026-07-29,2013.49
CUST0447,2026-07-13,371.48
CUST0115,2026-08-03,2943.62
CUST0269,2026-08-06,374.45
CUST0112,2026-08-05,2283.57
CUST0243,2026-04-29,863.11
CUST0191,2026-02-15,1116.52
CUST0214,2026-02-09,586.44
CUST0051,2026-07-30,825.57
CUST0254,2026-08-13,493.99
CUST0500,2026-07-02,61.34
CUST0081,2026-08-01,2740.7
CUST0187,2026-04-25,778.41
CUST0144,2026-03-22,1183.54
CUST0012,2026-08-15,1181.25
CUST0369,2026-08-06,376.78
CUST0166,2026-02-28,784.22
CUST0049,2026-08-14,2500.21
CUST0229,2026-03-13,1043.34
CUST0304,2026-08-14,533.02
CUST0201,2026-02-20,1022.57
CUST0068,2026-08-02,1106.24
CUST0028,2026-08-08,1848.56
CUST0388,2026-08-12,309.15
CUST0143,2026-03-31,487.16
CUST0097,2026-08-05,1484.68
CUST0027,2026-07-28,1633.3
CUST0462,2026-04-22,291.19
CUST0470,2026-04-12,219.83
CUST0098,2026-08-13,2920.84
CUST0202,2026-02-28,1043.46
CUST0221,2026-02-19,1131.7
CUST0038,2026-07-30,1391.09
CUST0121,2026-02-24,865.19
CUST0016,2026-08-03,2427.8
CUST0189,2026-03-08,529.8
CUST0236,2026-03-31,403.28
CUST0017,2026-08-05,2352.83
CUST0028,2026-08-10,2271.02
CUST0231,2026-05-03,862.8
CUST0147,2026-02-27,369.27
CUST0160,2026-02-12,1176.04
CUST0197,2026-02-08,842.2
CUST0075,2026-08-04,918.49
CUST0031,2026-07-27,2546.86
CUST0158,2026-03-30,549.31
CUST0192,2026-02-13,786.27
CUST0050,2026-08-01,1859.35
CUST0043,2026-08-04,2964.98
CUST0226,2026-03-20,634.39
CUST0173,2026-03-22,694.36
CUST0001,2026-08-10,801.71
CUST0359,2026-08-09,241.18
CUST0118,2026-08-14,2333.86
CUST0055,2026-08-01,1316.28
CUST0031,2026-08-10,1980.26
CUST0204,2026-05-08,684.74
CUST0046,2026-07-31,2303.17
CUST0398,2026-08-06,433.46
CUST0015,2026-08-06,851.2
CUST0022,2026-08-11,2397.47
CUST0017,2026-08-09,1737.4
CUST0364,2026-08-05,127.26
CUST0385,2026-08-15,519.55
CUST0007,2026-07-29,2834.33
CUST0101,2026-07-31,1006.08
CUST0248,2026-05-05,907.4
CUST0118,2026-08-06,2360.51
CUST0109,2026-08-10,1758.12
CUST0079,2026-07-28,1370.45
CUST0132,2026-02-22,444.42
CUST0423,2026-04-14,218.71
CUST0250,2026-03-19,542.25
CUST0120,2026-07-31,2697.81
CUST0102,2026-07-29,2289.01
CUST0008,2026-08-13,2683.91
CUST0077,2026-08-03,1004.58
CUST0117,2026-07-28,914.18
CUST0074,2026-08-14,2268.17
CUST0099,2026-08-11,1139.12
CUST0091,2026-08-04,2891.17
CUST0052,2026-08-09,1091.97
CUST0017,2026-08-11,2421.48
CUST0245,2026-03-09,853.88
CUST0164,2026-04-04,546.28
CUST0117,2026-08-10,920.2
CUST0219,2026-03-07,1167.13
CUST0063,2026-08-03,2123.55
CUST0181,2026-02-10,405.23
CUST0125,2026-03-09,581.62
CUST0077,2026-08-04,2440.61
CUST0035,2026-08-14,1975.8
CUST0107,2026-08-15,2551.73
CUST0096,2026-08-04,2816.6
CUST0094,2026-07-27,2780.71
CUST0047,2026-08-03,1387.46
CUST0206,2026-05-06,436.6
CUST0101,2026-07-27,1826.92
CUST0016,2026-07-30,1975.52
CUST0001,2026-08-01,2160.45
CUST0446,2026-04-15,185.53
CUST0032,2026-08-12,2375.59
CUST0149,2026-02-19,379.55
CUST0244,2026-03-17,877.88
CUST0284,2026-08-03,307.93
CUST0133,2026-01-29,577.02
CUST0377,2026-08-12,193.21
CUST0095,2026-08-09,2722.14
CUST0118,2026-08-15,2358.68
CUST0038,2026-08-06,1108.04
CUST0046,2026-08-07,897.63
CUST0421,2026-04-21,318.31
CUST0101,2026-07-27,2699.8
CUST0095,2026-08-07,2222.19
CUST0286,2026-08-03,333.99
CUST0039,2026-08-09,2142.89
CUST0097,2026-07-27,2076.49
CUST0044,2026-08-01,1645.52
CUST0343,2026-08-06,412.72
CUST0411,2026-07-16,303.64
CUST0219,2026-02-15,698.73
CUST0084,2026-08-07,2070.71
CUST0106,2026-08-10,1630.1
CUST0107,2026-08-14,1266.39
CUST0169,2026-05-08,630.65
CUST0187,2026-03-09,888.74
CUST0448,2026-04-21,182.02
CUST0028,2026-08-05,993.35
CUST0054,2026-08-01,1318.74
CUST0246,2026-05-14,884.44
CUST0119,2026-08-15,1486.36
CUST0020,2026-07-31,2758.58
CUST0373,2026-08-10,411.61
CUST0076,2026-07-28,1133.45
CUST0359,2026-08-06,367.28
CUST0243,2026-02-15,839.37
CUST0131,2026-04-08,698.29
CUST0226,2026-04-11,372.55
CUST0071,2026-08-06,2527.04
CUST0110,2026-08-01,2034.85
CUST0056,2026-08-11,1027.28
CUST0336,2026-08-06,467.35
CUST0457,2026-06-25,77.12
CUST0035,2026-08-08,1904.83
CUST0035,2026-07-29,1446.9
CUST0200,2026-05-03,655.12
CUST0063,2026-08-06,1793.89
CUST0029,2026-08-07,2472.5
CUST0062,2026-07-27,2274.21
CUST0070,2026-08-06,2298.14
CUST0231,2026-02-15,519.75
CUST0057,2026-08-01,1947.81
CUST0059,2026-08-10,1519.47
CUST0104,2026-07-31,1852.17
CUST0056,2026-08-04,2354.91
CUST0179,2026-04-28,978.48
CUST0410,2026-04-14,376.5
CUST0159,2026-03-17,837.1
CUST0121,2026-03-20,620.27
CUST0263,2026-08-13,572.87
CUST0210,2026-04-28,734.44
CUST0493,2026-06-08,191.98
CUST0234,2026-03-10,1154.08
CUST0041,2026-08-07,2876.93
CUST0111,2026-08-14,1332.17
CUST0103,2026-08-12,1695.63
CUST0087,2026-07-27,2791.79
CUST0137,2026-04-12,406.57
CUST0182,2026-02-15,1085.72
CUST0228,2026-02-06,309.44
CUST0084,2026-07-29,1005.5
CUST0112,2026-08-10,1218.24
CUST0053,2026-07-27,1546.79
CUST0439,2026-04-11,80.35
CUST0224,2026-04-10,709.84
CUST0173,2026-04-16,344.65
CUST0227,2026-02-06,680.39
CUST0154,2026-03-18,650.31
CUST0066,2026-07-31,1700.85
CUST0033,2026-08-07,1733.09
CUST0286,2026-08-03,492.53
CUST0018,2026-07-30,2883.95
CUST0073,2026-08-10,981.76
CUST0008,2026-07-31,1023.24
CUST0350,2026-08-01,154.93
CUST0012,2026-08-06,1510.5
CUST0022,2026-08-12,1303.01
CUST0019,2026-08-01,2760.51
CUST0167,2026-05-05,1190.51
CUST0123,2026-02-16,767.73
CUST0096,2026-08-05,1745.85
CUST0201,2026-04-18,652.72
CUST0218,2026-04-28,978.12
CUST0056,2026-08-07,1747.95
CUST0104,2026-08-14,1418.21
CUST0216,2026-02-08,1102.19
CUST0370,2026-08-08,270.92
CUST0105,2026-08-05,2618.77
CUST0296,2026-08-08,253.85
CUST0091,2026-08-15,855.31
CUST0061,2026-08-05,2482.74
CUST0225,2026-03-06,388.73
CUST0035,2026-07-31,2042.65
CUST0059,2026-08-14,2998.71
CUST0107,2026-08-02,2495.72
CUST0012,2026-08-04,2923.55
CUST0478,2026-03-19,362.66
CUST0120,2026-08-15,1479.44
CUST0051,2026-07-29,2297.0
CUST0246,2026-05-09,577.92
CUST0131,2026-03-25,325.48
CUST0018,2026-08-03,2457.43
CUST0179,2026-05-08,459.47
CUST0227,2026-02-17,459.44
CUST0167,2026-05-09,1146.38
CUST0008,2026-08-14,2991.76
CUST0024,2026-07-31,1134.19
CUST0121,2026-03-22,1090.19
CUST0077,2026-08-01,1786.94
CUST0210,2026-02-04,750.25
CUST0065,2026-08-08,2736.17
CUST0020,2026-08-08,1173.3
CUST0059,2026-08-03,1435.11
CUST0217,2026-02-23,913.97
CUST0014,2026-08-05,1230.74
CUST0139,2026-03-29,594.8
CUST0074,2026-08-08,2174.26
CUST0159,2026-02-27,1076.7
CUST0013,2026-08-11,1843.18
CUST0214,2026-02-03,559.43
CUST0027,2026-08-13,1673.76
CUST0078,2026-07-31,1621.62
CUST0229,2026-04-30,839.52
CUST0079,2026-08-05,2427.97
CUST0050,2026-08-04,1841.06
CUST0036,2026-08-02,2626.48
CUST0188,2026-05-03,851.52
CUST0065,2026-08-12,988.45
CUST0210,2026-04-21,870.07
CUST0242,2026-04-27,961.52
CUST0176,2026-04-27,1165.34
CUST0248,2026-03-06,984.0
CUST0329,2026-08-14,183.78
CUST0055,2026-08-06,961.69
CUST0227,2026-03-08,910.64
CUST0382,2026-08-02,226.09
CUST0153,2026-03-18,874.49
CUST0062,2026-08-01,1335.66
CUST0156,2026-03-03,338.11
CUST0062,2026-08-08,1484.88
CUST0185,2026-03-17,1025.14
CUST0118,2026-08-11,1025.54
CUST0019,2026-08-03,1322.51
CUST0143,2026-03-03,463.55
CUST0083,2026-08-09,2718.7
CUST0339,2026-08-09,410.12
CUST0047,2026-08-03,2157.24
CUST0027,2026-08-07,1896.57
CUST0021,2026-08-14,881.01
CUST0182,2026-02-03,891.33
CUST0208,2026-03-22,1064.5
CUST0049,2026-08-01,1723.4
CUST0163,2026-02-11,1177.84
CUST0337,2026-08-03,526.46
CUST0273,2026-08-01,452.82
CUST0250,2026-03-17,1005.05
CUST0136,2026-02-20,461.33
CUST0224,2026-04-26,421.82
CUST0067,2026-08-09,1470.29
CUST0168,2026-03-17,1112.97
CUST0034,2026-08-05,2830.51
CUST0047,2026-08-10,1216.29
CUST0090,2026-08-15,2422.64
CUST0417,2026-05-26,182.3
CUST0251,2026-08-07,261.87
CUST0083,2026-08-01,1250.74
CUST0116,2026-08-02,1255.57
CUST0301,2026-08-08,412.33
CUST0041,2026-07-31,1053.62
CUST0138,2026-04-01,978.24
CUST0177,2026-04-20,534.94
CUST0020,2026-07-29,1385.06
CUST0092,2026-08-05,2656.63
CUST0145,2026-01-31,1048.23
